Taxa1	Taxa1Imp	Taxa2	Correlation
0	0.20851114372696467	6	-0.8571428571428573
0	0.20851114372696467	7	-0.7142857142857144
0	0.20851114372696467	11	-0.8333333333333335
0	0.20851114372696467	26	-0.880952380952381
0	0.20851114372696467	0	0
1	0.1822774761814594	16	0.8571428571428573
1	0.1822774761814594	38	-0.904761904761905
1	0.1822774761814594	55	0.8728715609439696
1	0.1822774761814594	1	0
2	0.2792612011708119	2	0
3	0.28967484308164626	17	-0.8571428571428573
3	0.28967484308164626	3	0
4	0.23904326990415858	22	0.95150257112482
4	0.23904326990415858	4	0
5	0.38534083313309425	5	0
6	0.09818238508936789	6	0
7	0.806877488146983	19	0.9285714285714287
7	0.806877488146983	25	0.9523809523809526
7	0.806877488146983	29	0.880952380952381
7	0.806877488146983	49	0.8455943246644706
7	0.806877488146983	7	0
8	0.050751325746528915	8	0
9	0.5472561162385082	9	0
10	0.046039362593522704	8	0.9523809523809526
10	0.046039362593522704	10	0
11	0.07812342401349869	59	0.7637626158259734
11	0.07812342401349869	11	0
12	0.9642191697642707	30	0.880952380952381
12	0.9642191697642707	31	0.8571428571428573
12	0.9642191697642707	12	0
13	0.08970844524743098	13	0
14	0.2746385808148647	14	0
15	0.8578545646260198	23	0.9523809523809526
15	0.8578545646260198	42	0.880952380952381
15	0.8578545646260198	15	0
16	0.1740334753202349	13	-0.8571428571428573
16	0.1740334753202349	50	0.7364853795464744
16	0.1740334753202349	16	0
17	0.0673328391039231	18	0.7857142857142858
17	0.0673328391039231	17	0
18	0.08413816783002523	18	0
19	0.8413341501613257	20	0.904761904761905
19	0.8413341501613257	19	0
20	0.5784078081487778	14	-0.761904761904762
20	0.5784078081487778	24	-0.7610194341477615
20	0.5784078081487778	32	-0.7807200583588266
20	0.5784078081487778	20	0
21	0.3287094096878306	21	0
22	0.34224562109518636	21	0.9357754408380655
22	0.34224562109518636	41	0.95150257112482
22	0.34224562109518636	22	0
23	0.6587892463151191	23	0
24	0.5497942495286637	5	0.8244377203267418
24	0.5497942495286637	47	0.8648648648648648
24	0.5497942495286637	24	0
25	1.0	12	0.880952380952381
25	1.0	15	0.9523809523809526
25	1.0	25	0
26	0.08963016480838172	43	-0.7863867486193536
26	0.08963016480838172	26	0
27	0.0	27	0
28	0.0	28	0
29	0.6302170588467989	51	0.9271050693011067
29	0.6302170588467989	29	0
30	0.5369192941346824	9	-0.8295150620062532
30	0.5369192941346824	30	0
31	0.6118035583739578	31	0
32	0.27023962019149117	46	0.8
32	0.27023962019149117	32	0
33	0.44235919641648513	4	0.8333333333333335
33	0.44235919641648513	33	0
34	0.18201355622847315	36	-0.7910398521054726
34	0.18201355622847315	34	0
35	0.007655593789103445	57	0.8781140799175228
35	0.007655593789103445	35	0
36	0.3212850122605424	1	0.880952380952381
36	0.3212850122605424	36	0
37	0.4891793417817146	37	0
38	0.1258480056316357	38	0
39	0.0059031084638869954	58	0.9999999999999998
39	0.0059031084638869954	39	0
40	0.0	40	0
41	0.22000130865544057	34	0.7910398521054726
41	0.22000130865544057	41	0
42	0.6810061907728235	42	0
43	0.07960064319501366	43	0
44	0.15788420896895655	10	-0.8455943246644706
44	0.15788420896895655	44	0
45	0.1206789861796365	45	0
46	0.1382562101721407	2	0.8783100656536801
46	0.1382562101721407	46	0
47	0.29394677842673766	3	-0.8244377203267418
47	0.29394677842673766	33	-0.8371213775625378
47	0.29394677842673766	37	-0.8624886920341297
47	0.29394677842673766	56	-0.9097816785925636
47	0.29394677842673766	47	0
48	0.0	48	0
49	0.7802147767380978	49	0
50	0.05441548542842328	50	0
51	0.739197394205912	44	-0.8385254915624211
51	0.739197394205912	51	0
52	0.0	52	0
53	0.0	53	0
54	0.0	54	0
55	0.2240692592744547	45	0.8506730149201003
55	0.2240692592744547	55	0
56	0.7810353895561026	56	0
57	0.007655593789103445	57	0
58	0.0059031084638869954	58	0
59	0.030358843528561674	59	0
60	0.0	60	0
61	0.0	61	0
